day,hour,time_period,predicted_engagement,predicted_likes,predicted_retweets
Sunday,1,night,399.11172222222217,187.83035092166546,301.3038849206349
Sunday,0,night,395.06525793650786,234.67498466026728,260.2166908369409
Sunday,3,night,353.93562788600286,190.7182348152551,194.5231720779221
Thursday,1,night,347.5004606680035,316.0877301665027,46.208618031151865
Friday,2,night,339.0462974367904,228.7252498775568,108.39324689199694
Saturday,1,night,332.6237580872509,280.190151118635,69.29527715121134
Monday,1,night,320.8299743867244,235.4416269841269,192.60514646464642
Saturday,0,night,317.406220692293,134.5061082699352,250.46792496392504
Sunday,8,morning,307.85577030022597,233.62290684974144,93.48621363744438
Monday,22,night,288.26200720160324,194.6567985403485,241.16131168831168
Sunday,2,night,281.9736621572871,142.55619032074247,223.04174999999998
Monday,0,night,276.78485317460314,79.74175793650795,258.0159917027418
Sunday,17,evening,273.77127211981565,264.67360709215154,78.7710948164339
Tuesday,7,morning,263.26070969940054,243.7871312150408,158.21985112505774
Monday,3,night,261.5845197139461,224.60255436351088,100.4217105084458
Sunday,16,afternoon,260.8840021627159,215.55214133919725,108.88877553351676
Tuesday,19,evening,260.563054089688,216.18260005041023,73.41465436507937
Tuesday,15,afternoon,257.1923826547486,228.1167263453006,68.9914831518954
Monday,15,afternoon,253.56514261550168,165.8617496134684,71.37975216450215
Thursday,2,night,252.0898268296196,105.88030825207551,217.46256344684724
Tuesday,16,afternoon,252.00300910835347,226.8596373216409,54.264709125921364
Tuesday,6,morning,249.71590526512432,155.58412012152124,255.8141563961757
Tuesday,14,afternoon,249.262069365028,230.28810019830485,76.09611647452545
Tuesday,18,evening,248.98039680253066,193.5431616578656,109.894002960928
Wednesday,7,morning,248.69225797117932,229.4366621075812,86.63016201892614
Wednesday,18,evening,248.64888968197093,116.36385903066838,267.9993887931515
Sunday,14,afternoon,248.2056291468429,209.09207578125822,82.3375558976419
Thursday,17,evening,246.39976182997412,256.23651888890845,74.39303561748935
Monday,19,evening,245.16095952740068,185.14003482876407,85.56934974747477
Wednesday,19,evening,244.13641096069222,139.13357213727784,229.32381252228166
Sunday,18,evening,243.4456762107809,126.56294809658885,156.93772348392648
Monday,17,evening,243.18727890246998,171.20699031563836,83.85085714285715
Tuesday,17,evening,242.8751119777063,194.44880371243963,88.08135731106957
Monday,16,afternoon,241.61541016010128,168.63582725647524,56.7328474025974
Monday,14,afternoon,241.08250719692958,182.21443168629747,77.60203467821889
Tuesday,1,night,240.33449459246359,119.0135833610834,166.2220191197691
Thursday,15,afternoon,239.45963315208374,188.5583544480162,87.81154626721246
Sunday,4,night,235.56920096768314,236.07604508178585,20.876968253968254
Monday,18,evening,233.592595891037,167.5215741450034,100.72014285714286
Friday,1,night,233.5157699920128,142.72191447386206,143.9153888888889
Wednesday,17,evening,230.97737554234374,158.444015120335,158.61403686987703
Wednesday,2,night,228.57709268881172,38.88018447214843,306.172808080808
Wednesday,1,night,227.98865817887716,107.07314865678056,174.6729595959596
Sunday,6,morning,227.87280180930185,110.25556174290257,190.49965546218482
Sunday,15,afternoon,227.59921248017628,216.90826049119306,70.18426979933162
Sunday,12,afternoon,227.25017819615968,191.66741926767477,91.12845194633796
Saturday,22,night,227.1350708378972,170.05594043294258,153.3806879352532
Friday,0,night,222.83179647761884,207.27998293415988,26.4991608946609
Saturday,2,night,220.37328189677473,164.24205255628817,65.03744778613199
Sunday,22,night,219.87854610177396,239.14314996235643,44.48086289917812
Thursday,0,night,218.84054631111852,171.6183927687697,81.93856968031969
Sunday,11,morning,218.42523807704458,160.33226044156206,96.12210398792384
Wednesday,8,morning,218.3831760508595,179.55303642770556,120.37997189994549
Friday,4,night,218.04357259067223,177.50714950561436,86.09925765364615
Wednesday,6,morning,217.94322952074498,179.76639921030983,109.21548993243418
Sunday,10,morning,217.4747604697226,240.81614426607086,77.0207114729422
Thursday,6,morning,215.4092792135593,159.26654570597054,92.1660066696916
Saturday,21,night,214.50284984527417,149.02921112366334,116.25292185976532
Tuesday,8,morning,213.56575289231876,225.7863831991678,70.0928370798826
Tuesday,5,night,213.34147512988372,134.691703198847,151.29715221734784
Friday,21,night,212.40340571126396,195.60665527814842,35.281789307877496
Wednesday,14,afternoon,211.422094775233,142.12768889425118,177.36720321645416
Thursday,21,night,211.32473219955722,130.70355417907484,159.00862058464503
Wednesday,16,afternoon,210.86189172060992,158.28997529040083,112.91982420616898
Wednesday,15,afternoon,210.20786708185685,129.07209593315025,175.18957789257914
Thursday,9,morning,209.00249001317877,128.63613055749627,158.11586925306514
Sunday,9,morning,208.76369833267267,162.39528166013994,98.89153506601582
Friday,23,night,207.62603762333845,225.94340878701576,20.787809523809518
Thursday,4,night,206.92725504819091,121.39853905561532,178.80993537523972
Sunday,19,evening,204.50645081395544,218.54223796457828,44.71145385078189
Friday,22,night,203.8668504506133,197.85472606611427,40.022091799907024
